time_s,acceleration
2.940,-0.071858
2.950,-0.013257
2.960,-0.034517
2.970,-0.046381
2.980,-0.005083
2.990,0.034480
3.000,0.053513
3.010,0.011723
3.020,-0.013833
3.030,0.007061
3.040,-0.018305
3.050,0.022675
3.060,0.013921
3.070,0.003953
3.080,-0.003619
3.090,0.058898
3.100,0.144254
3.110,0.179234
3.120,0.199614
3.130,0.176282
3.140,0.209779
3.150,0.272404
3.160,0.240588
3.170,0.196449
3.180,0.143532
3.190,0.105672
3.200,0.108615
3.210,0.095208
3.220,0.051214
3.230,0.010473
3.240,0.010302
3.250,0.017160
3.260,0.014673
3.270,0.054287
3.280,0.026874
3.290,0.020590
3.300,0.019799
3.310,0.064202
3.320,0.052880
3.330,0.006941
3.340,-0.062886
3.350,-0.102189
3.360,-0.099752
3.370,-0.087008
3.380,-0.116551
3.390,-0.160686
3.400,-0.151872
3.410,-0.121454
3.420,-0.060060
3.430,-0.023392
3.440,-0.008609
3.450,0.002248
3.460,0.021110
3.470,0.117114
3.480,0.146295
3.490,0.125434
3.500,0.102457
3.510,0.080861
3.520,0.096059
3.530,0.084511
3.540,0.094009
3.550,0.068907
3.560,0.068323
3.570,0.103797
3.580,0.153784
3.590,0.160021
3.600,0.147196
3.610,0.167308
3.620,0.180353
3.630,0.224921
3.640,0.224719
3.650,0.190131
3.660,0.108731
3.670,0.081022
3.680,0.055657
3.690,0.049419
3.700,0.007437
3.710,-0.061328
3.720,-0.098074
3.730,-0.094673
3.740,-0.053254
3.750,-0.037623
3.760,-0.059374
3.770,-0.072008
3.780,-0.029748
3.790,-0.005694
3.800,0.029967
3.810,0.004355
3.820,-0.049257
3.830,-0.076964
3.840,-0.060985
3.850,-0.047027
3.860,-0.058136
3.870,-0.112275
3.880,-0.120420
3.890,-0.082446
3.900,-0.003750
3.910,0.004319
3.920,0.049706
3.930,0.053770
3.940,0.106270
3.950,0.162424
3.960,0.217390
3.970,0.227764
3.980,0.183278
3.990,0.162977
4.000,0.169019
4.010,0.165507
4.020,0.153882
4.030,0.094566
4.040,0.050619
4.050,0.064162
4.060,0.095617
4.070,0.124434
4.080,0.103981
4.090,0.081333
4.100,0.112102
4.110,0.143222
4.120,0.166119
4.130,0.133465
4.140,0.069577
4.150,0.021210
4.160,0.007226
4.170,0.008965
4.180,-0.038897
4.190,-0.119861
4.200,-0.154997
4.210,-0.170961
4.220,-0.123621
4.230,-0.113418
4.240,-0.116463
4.250,-0.106598
4.260,-0.079498
4.270,-0.035510
4.280,0.038608
4.290,0.060134
4.300,0.000795
4.310,0.021510
4.320,0.013909
4.330,0.038542
4.340,0.034263
4.350,-0.015124
4.360,-0.013944
4.370,-0.004614
4.380,0.032301
4.390,0.077261
4.400,0.075508
4.410,0.091632
4.420,0.137898
4.430,0.173425
4.440,0.236959
4.450,0.247700
4.460,0.225831
4.470,0.202542
4.480,0.183562
4.490,0.182221
4.500,0.162309
4.510,0.088360
4.520,0.028675
4.530,0.023479
4.540,0.043043
4.550,0.035190
4.560,0.008885
4.570,-0.010459
4.580,-0.030643
4.590,0.026128
4.600,0.048894
4.610,0.075977
4.620,0.019177
4.630,-0.019591
4.640,-0.026596
4.650,-0.045841
4.660,-0.038536
4.670,-0.086190
4.680,-0.159972
4.690,-0.152635
4.700,-0.122053
4.710,-0.116794
4.720,-0.088923
4.730,-0.085503
4.740,-0.064492
4.750,0.001740
4.760,0.078076
4.770,0.083443
4.780,0.094072
4.790,0.101870
4.800,0.103741
4.810,0.156484
4.820,0.140494
4.830,0.084169
4.840,0.063422
4.850,0.051387
4.860,0.093886
4.870,0.103204
4.880,0.120510
4.890,0.088609
4.900,0.114302
4.910,0.154653
4.920,0.205708
4.930,0.228997
4.940,0.190076
4.950,0.155362
4.960,0.143182
4.970,0.169423
4.980,0.135087
4.990,0.055092
5.000,-0.011562
5.010,-0.059834
5.020,-0.059605
5.030,-0.058772
5.040,-0.073546
5.050,-0.106961
5.060,-0.117583
5.070,-0.061446
5.080,-0.013271
5.090,-0.005057
5.100,-0.014951
5.110,-0.042987
5.120,-0.027000
5.130,0.003777
5.140,-0.004741
5.150,-0.038207
5.160,-0.104311
5.170,-0.086843
5.180,-0.081381
5.190,-0.047171
5.200,-0.056799
5.210,-0.042718
5.220,-0.010944
5.230,0.053406
5.240,0.124587
5.250,0.140180
5.260,0.151106
5.270,0.156338
5.280,0.178456
5.290,0.233382
5.300,0.226060
5.310,0.181437
5.320,0.132298
5.330,0.093165
5.340,0.101413
5.350,0.107172
5.360,0.097518
5.370,0.060122
5.380,0.054352
5.390,0.092481
5.400,0.110668
5.410,0.129242
5.420,0.111170
5.430,0.070009
5.440,0.078469
5.450,0.105348
5.460,0.088954
5.470,0.028553
5.480,-0.053244
5.490,-0.096297
5.500,-0.087429
5.510,-0.103105
5.520,-0.121718
5.530,-0.146936
5.540,-0.167795
5.550,-0.127258
5.560,-0.061668
5.570,-0.021708
5.580,-0.021073
5.590,-0.021571
5.600,0.014086
5.610,0.038452
5.620,0.065118
5.630,0.050749
5.640,0.000356
5.650,-0.016007
5.660,0.007294
5.670,0.033348
5.680,0.036168
5.690,0.008727
5.700,0.028425
5.710,0.094052
5.720,0.141949
5.730,0.194956
5.740,0.187825
5.750,0.172347
5.760,0.204409
5.770,0.232445
5.780,0.256073
5.790,0.194666
5.800,0.156297
5.810,0.107759
5.820,0.072209
5.830,0.091060
5.840,0.060667
5.850,-0.017209
5.860,-0.028722
5.870,-0.039893
5.880,0.017360
5.890,0.012533
5.900,0.015932
5.910,-0.025932
5.920,-0.024412
5.930,0.033835
5.940,0.057639
5.950,-0.010747
5.960,-0.055179
5.970,-0.097156
5.980,-0.101111
5.990,-0.086453
6.000,-0.096449
6.010,-0.160469
6.020,-0.151435
6.030,-0.113750
6.040,-0.066984
6.050,0.009256
6.060,0.027443
6.070,0.011651
6.080,0.080663
6.090,0.124625
6.100,0.160067
6.110,0.167008
6.120,0.119689
6.130,0.103824
6.140,0.129357
6.150,0.141645
6.160,0.121756
6.170,0.061183
6.180,0.041454
6.190,0.094929
6.200,0.123614
6.210,0.163472
6.220,0.146456
6.230,0.145330
6.240,0.150977
6.250,0.215303
6.260,0.201460
6.270,0.174681
6.280,0.110722
6.290,0.076864
6.300,0.033313
6.310,0.032779
6.320,-0.012288
6.330,-0.069436
6.340,-0.114027
6.350,-0.119381
6.360,-0.079378
6.370,-0.065880
6.380,-0.066383
6.390,-0.082006
6.400,-0.065690
6.410,-0.012145
6.420,0.023168
6.430,0.029492
6.440,-0.036791
6.450,-0.051273
6.460,-0.029830
6.470,-0.050046
6.480,-0.059474
6.490,-0.089437
6.500,-0.096041
6.510,-0.040765
6.520,-0.001714
6.530,0.053282
6.540,0.055730
6.550,0.045873
6.560,0.088886
6.570,0.187751
6.580,0.227663
6.590,0.213264
6.600,0.205514
6.610,0.156426
6.620,0.187625
6.630,0.196507
6.640,0.147351
6.650,0.087896
6.660,0.063266
6.670,0.042954
6.680,0.090562
6.690,0.085583
6.700,0.090567
6.710,0.063131
6.720,0.066989
6.730,0.098561
6.740,0.132957
6.750,0.089747
6.760,0.052609
6.770,0.008356
6.780,0.005774
6.790,-0.021355
6.800,-0.028475
6.810,-0.112562
6.820,-0.171223
6.830,-0.149656
6.840,-0.115696
6.850,-0.109032
6.860,-0.116698
6.870,-0.110158
6.880,-0.086522
6.890,-0.019625
6.900,0.054483
6.910,0.056286
6.920,0.035812
6.930,0.028614
6.940,0.044293
6.950,0.078224
6.960,0.072747
6.970,0.022902
6.980,-0.002003
6.990,0.033626
7.000,0.058640
7.010,0.089397
7.020,0.119140
7.030,0.099227
7.040,0.117622
7.050,0.195024
7.060,0.229943
7.070,0.239903
7.080,0.217576
7.090,0.185801
7.100,0.177284
7.110,0.180297
7.120,0.147511
7.130,0.097263
7.140,0.014010
7.150,-0.008685
7.160,0.026768
7.170,0.004751
7.180,0.001741
7.190,-0.028800
7.200,-0.040403
7.210,-0.014199
7.220,0.041348
7.230,0.041459
7.240,0.009449
7.250,-0.028257
7.260,-0.016443
7.270,-0.005759
7.280,-0.050242
7.290,-0.078922
7.300,-0.140880
7.310,-0.155790
7.320,-0.123586
7.330,-0.073194
7.340,-0.078600
7.350,-0.107506
7.360,-0.057263
7.370,0.010182
7.380,0.080319
7.390,0.109398
7.400,0.097356
7.410,0.120385
7.420,0.128258
7.430,0.165692
7.440,0.162577
7.450,0.120798
7.460,0.091361
7.470,0.078890
7.480,0.092393
7.490,0.109227
7.500,0.104439
7.510,0.099395
7.520,0.100164
7.530,0.147139
7.540,0.188595
7.550,0.198029
7.560,0.174343
7.570,0.125257
7.580,0.156538
7.590,0.136175
7.600,0.110465
7.610,0.061231
7.620,-0.023305
7.630,-0.063003
7.640,-0.071107
7.650,-0.082668
7.660,-0.092094
7.670,-0.115696
7.680,-0.137795
7.690,-0.073179
7.700,-0.046977
7.710,-0.023394
7.720,-0.024088
7.730,-0.039204
7.740,-0.013381
7.750,0.002722
7.760,0.002177
7.770,-0.043637
7.780,-0.081116
7.790,-0.089770
7.800,-0.066836
7.810,-0.022202
7.820,-0.030620
7.830,-0.052165
7.840,0.014038
7.850,0.044502
7.860,0.113206
7.870,0.178519
7.880,0.181678
7.890,0.160330
7.900,0.183547
7.910,0.223090
7.920,0.247359
7.930,0.190076
7.940,0.127994
7.950,0.106283
7.960,0.121430
7.970,0.096673
7.980,0.079007
7.990,0.027976
8.000,0.049732
8.010,0.075008
8.020,0.107319
8.030,0.107841
8.040,0.092110
8.050,0.039682
8.060,0.065736
8.070,0.064611
8.080,0.052253
8.090,0.002545
8.100,-0.063160
8.110,-0.093876
8.120,-0.096254
8.130,-0.100704
8.140,-0.137478
8.150,-0.156513
8.160,-0.169453
8.170,-0.113685
8.180,-0.073055
8.190,-0.053749
8.200,-0.024940
8.210,0.007600
8.220,0.025909
8.230,0.069698
8.240,0.104920
8.250,0.080589
8.260,0.042119
8.270,0.019157
8.280,0.045137
8.290,0.067645
8.300,0.052042
8.310,0.023937
8.320,0.037822
8.330,0.091648
8.340,0.151225
8.350,0.186726
8.360,0.188197
8.370,0.205801
8.380,0.204494
8.390,0.247595
8.400,0.264194
8.410,0.203906
8.420,0.141929
8.430,0.105918
8.440,0.099825
8.450,0.074522
8.460,0.034597
8.470,-0.026037
8.480,-0.072686
8.490,-0.036400
8.500,-0.014523
8.510,-0.013668
8.520,-0.013784
8.530,-0.046529
8.540,-0.026386
8.550,0.016625
8.560,0.018604
8.570,0.005360
8.580,-0.074167
8.590,-0.088946
8.600,-0.083530
8.610,-0.066929
8.620,-0.090777
8.630,-0.132884
8.640,-0.145091
8.650,-0.108433
8.660,-0.032256
8.670,-0.003020
8.680,0.025197
8.690,0.033240
8.700,0.079661
8.710,0.137632
8.720,0.202696
8.730,0.168070
8.740,0.143484
8.750,0.125509
8.760,0.140095
8.770,0.150746
8.780,0.131546
8.790,0.094613
8.800,0.045018
8.810,0.079796
8.820,0.111399
8.830,0.151920
8.840,0.130480
8.850,0.120116
8.860,0.143798
8.870,0.193694
8.880,0.200373
8.890,0.164590
8.900,0.113919
8.910,0.042756
8.920,0.013895
8.930,0.016723
8.940,-0.024606
8.950,-0.074864
8.960,-0.112219
8.970,-0.145281
8.980,-0.074827
8.990,-0.062863
9.000,-0.076768
9.010,-0.089193
9.020,-0.044053
9.030,-0.015705
9.040,0.016665
9.050,0.016982
9.060,-0.031444
9.070,-0.032040
9.080,-0.025368
9.090,-0.003182
9.100,-0.013800
9.110,-0.063786
9.120,-0.060119
9.130,-0.057395
9.140,0.018350
9.150,0.038809
9.160,0.073840
9.170,0.072457
9.180,0.120589
9.190,0.178665
9.200,0.212922
9.210,0.225802
9.220,0.206116
9.230,0.187771
9.240,0.169284
9.250,0.166685
9.260,0.150147
9.270,0.096932
9.280,0.042696
9.290,0.033555
9.300,0.073051
9.310,0.086501
9.320,0.066785
9.330,0.027291
9.340,0.044865
9.350,0.078889
9.360,0.092815
9.370,0.098520
9.380,0.041218
9.390,-0.004726
9.400,0.003658
9.410,-0.007318
9.420,-0.039822
9.430,-0.098424
9.440,-0.153990
9.450,-0.178732
9.460,-0.139085
9.470,-0.098866
9.480,-0.115673
9.490,-0.109106
9.500,-0.073680
9.510,0.002569
9.520,0.061358
9.530,0.076451
9.540,0.052133
9.550,0.056759
9.560,0.074614
9.570,0.094692
9.580,0.105482
9.590,0.058771
9.600,0.013073
9.610,0.040712
9.620,0.065603
9.630,0.107069
9.640,0.089534
9.650,0.100621
9.660,0.116322
9.670,0.172873
9.680,0.213692
9.690,0.261014
9.700,0.207887
9.710,0.183802
9.720,0.189465
9.730,0.177936
9.740,0.152013
9.750,0.064137
9.760,0.011865
9.770,-0.022893
9.780,-0.008039
9.790,-0.009423
9.800,-0.049930
9.810,-0.084986
9.820,-0.074737
9.830,-0.017518
9.840,0.019857
9.850,0.023009
9.860,-0.030805
9.870,-0.061741
9.880,-0.036170
9.890,-0.019253
9.900,-0.036705
9.910,-0.076982
9.920,-0.130588
9.930,-0.148881
9.940,-0.116668
9.950,-0.077831
9.960,-0.074924
9.970,-0.078522
9.980,-0.025043
9.990,0.019055
10.000,0.095233
10.010,0.119612
10.020,0.125896
10.030,0.135779
10.040,0.162775
10.050,0.188366
10.060,0.194097
10.070,0.149390
10.080,0.082316
10.090,0.054041
10.100,0.128447
10.110,0.128422
10.120,0.105302
10.130,0.063571
10.140,0.071645
10.150,0.139705
10.160,0.143903
10.170,0.177857
10.180,0.162254
10.190,0.126957
10.200,0.130571
10.210,0.127408
10.220,0.127617
10.230,0.027025
10.240,-0.049876
10.250,-0.073006
10.260,-0.064632
10.270,-0.081522
10.280,-0.097313
10.290,-0.147464
10.300,-0.156067
10.310,-0.087682
10.320,-0.031736
10.330,-0.007350
10.340,-0.034879
10.350,-0.047539
10.360,-0.024236
10.370,0.021047
10.380,0.037253
10.390,0.003395
10.400,-0.058585
10.410,-0.052895
10.420,-0.029517
10.430,-0.002595
10.440,-0.004028
10.450,-0.017227
10.460,0.008006
10.470,0.063483
10.480,0.135929
10.490,0.167269
10.500,0.182182
10.510,0.178167
10.520,0.183948
10.530,0.245024
10.540,0.241476
10.550,0.210415
10.560,0.139954
10.570,0.106735
10.580,0.108014
10.590,0.103011
10.600,0.067009
10.610,0.007620
10.620,0.024716
10.630,0.015096
10.640,0.066942
10.650,0.089122
10.660,0.064428
10.670,0.043143
10.680,0.049739
10.690,0.073680
10.700,0.056897
10.710,0.031977
10.720,-0.073559
10.730,-0.099935
10.740,-0.108549
10.750,-0.108997
10.760,-0.124101
10.770,-0.147681
10.780,-0.175496
10.790,-0.133306
10.800,-0.055827
10.810,-0.016537
10.820,0.007146
10.830,0.007062
10.840,0.037159
10.850,0.086010
10.860,0.120727
10.870,0.100157
10.880,0.051511
10.890,0.050935
10.900,0.067141
10.910,0.085726
10.920,0.073790
10.930,0.067026
10.940,0.052203
10.950,0.094159
10.960,0.137403
10.970,0.168037
10.980,0.175047
10.990,0.175047
11.000,0.189420
11.010,0.226235
11.020,0.246688
11.030,0.200193
11.040,0.122900
11.050,0.082611
11.060,0.065475
11.070,0.060630
11.080,0.005044
11.090,-0.045851
11.100,-0.074773
11.110,-0.071686
11.120,-0.046553
11.130,-0.026756
11.140,-0.032937
11.150,-0.043932
11.160,-0.024454
11.170,0.003360
11.180,0.009649
11.190,0.010582
11.200,-0.049902
11.210,-0.077926
11.220,-0.074141
11.230,-0.077541
11.240,-0.086957
11.250,-0.116429
11.260,-0.121323
11.270,-0.095299
11.280,-0.063804
11.290,0.012784
11.300,0.036015
11.310,0.059827
11.320,0.097309
11.330,0.179637
11.340,0.212991
11.350,0.208220
11.360,0.171202
11.370,0.128309
11.380,0.159535
11.390,0.166975
11.400,0.133874
11.410,0.097736
11.420,0.064651
11.430,0.068517
11.440,0.110644
11.450,0.131707
11.460,0.126765
11.470,0.105019
11.480,0.127493
11.490,0.138374
11.500,0.172079
11.510,0.128318
11.520,0.080798
11.530,0.043968
11.540,0.022266
11.550,0.008384
11.560,-0.031334
11.570,-0.081870
11.580,-0.156877
11.590,-0.137371
11.600,-0.129467
11.610,-0.096490
11.620,-0.094646
11.630,-0.110510
11.640,-0.072948
11.650,-0.011691
11.660,0.013239
11.670,0.025319
11.680,-0.005709
11.690,-0.036939
11.700,-0.004362
11.710,0.009830
11.720,0.022075
11.730,-0.036273
11.740,-0.033587
11.750,-0.034008
11.760,0.044013
11.770,0.073076
11.780,0.085548
11.790,0.096874
11.800,0.134633
11.810,0.203479
11.820,0.257168
11.830,0.240049
11.840,0.199824
11.850,0.160437
11.860,0.183914
11.870,0.197921
11.880,0.163402
11.890,0.097656
11.900,0.037599
11.910,0.021233
11.920,0.042805
11.930,0.058735
11.940,0.017480
11.950,0.017481
11.960,0.001461
11.970,0.051818
11.980,0.076709
11.990,0.066815
12.000,0.015099
12.010,-0.022813
12.020,-0.020977
12.030,-0.030013
12.040,-0.024042
12.050,-0.112488
12.060,-0.165557
12.070,-0.170429
12.080,-0.145090
12.090,-0.131697
12.100,-0.107544
12.110,-0.102770
12.120,-0.088552
12.130,-0.005616
12.140,0.046612
12.150,0.082534
12.160,0.077135
12.170,0.074491
12.180,0.097429
12.190,0.114838
12.200,0.127599
12.210,0.075445
12.220,0.046601
12.230,0.052232
12.240,0.077105
12.250,0.096048
12.260,0.114540
12.270,0.088406
12.280,0.110702
12.290,0.162105
12.300,0.230964
12.310,0.228413
12.320,0.177824
12.330,0.179229
12.340,0.189059
12.350,0.187526
12.360,0.132327
12.370,0.069100
12.380,0.002919
12.390,-0.025691
12.400,-0.031668
12.410,-0.042812
12.420,-0.050207
12.430,-0.083342
12.440,-0.102009
12.450,-0.051852
12.460,-0.001344
12.470,0.004812
12.480,-0.014000
12.490,-0.030829
12.500,-0.023828
12.510,-0.010986
12.520,-0.032509
12.530,-0.058766
12.540,-0.097981
12.550,-0.100969
12.560,-0.092630
12.570,-0.064169
12.580,-0.046075
12.590,-0.049786
12.600,-0.032867
12.610,0.039154
12.620,0.097786
12.630,0.149133
12.640,0.136879
12.650,0.145470
12.660,0.172576
12.670,0.202823
12.680,0.187542
12.690,0.158404
12.700,0.118898
12.710,0.095305
12.720,0.105069
12.730,0.123351
12.740,0.107035
12.750,0.078194
12.760,0.059287
12.770,0.105029
12.780,0.145581
12.790,0.150066
12.800,0.117438
12.810,0.104140
12.820,0.095087
12.830,0.133651
12.840,0.089644
12.850,0.024739
12.860,-0.049904
12.870,-0.067532
12.880,-0.099609
12.890,-0.093620
12.900,-0.126150
12.910,-0.154504
12.920,-0.156589
12.930,-0.102367
12.940,-0.070411
12.950,-0.026943
12.960,-0.013391
12.970,-0.035835
12.980,-0.004788
12.990,0.029152
13.000,0.025638
13.010,0.021961
13.020,-0.006220
13.030,-0.034022
13.040,-0.024153
13.050,0.021793
13.060,0.017649
13.070,0.011862
13.080,0.023435
13.090,0.067537
13.100,0.143487
13.110,0.161455
13.120,0.194230
13.130,0.185020
13.140,0.218717
13.150,0.253731
13.160,0.245200
13.170,0.203823
13.180,0.134966
13.190,0.085284
13.200,0.098683
13.210,0.095279
13.220,0.047753
13.230,0.015307
13.240,-0.015269
13.250,0.008809
13.260,0.034629
13.270,0.037892
13.280,0.043234
13.290,0.020307
13.300,0.020263
13.310,0.040494
13.320,0.040628
13.330,-0.003503
13.340,-0.070010
13.350,-0.122066
13.360,-0.095481
13.370,-0.115079
13.380,-0.125393
13.390,-0.160411
13.400,-0.162179
13.410,-0.139676
13.420,-0.047376
13.430,-0.009079
13.440,0.004598
13.450,0.021135
13.460,0.040911
13.470,0.075460
13.480,0.143833
13.490,0.140584
13.500,0.103514
13.510,0.071026
13.520,0.091336
13.530,0.112031
13.540,0.078184
13.550,0.056841
13.560,0.045794
13.570,0.101166
13.580,0.132954
13.590,0.187295
13.600,0.169263
13.610,0.144799
13.620,0.202221
13.630,0.205552
13.640,0.232145
13.650,0.204989
13.660,0.118380
13.670,0.064236
13.680,0.070515
13.690,0.046573
13.700,-0.009430
13.710,-0.070968
13.720,-0.105139
13.730,-0.084897
13.740,-0.063717
13.750,-0.036095
13.760,-0.037375
13.770,-0.053435
13.780,-0.032810
13.790,0.007641
13.800,0.003964
13.810,0.012651
13.820,-0.040330
13.830,-0.070718
13.840,-0.073033
13.850,-0.065484
13.860,-0.075391
13.870,-0.099819
13.880,-0.126224
13.890,-0.089662
13.900,-0.025925
13.910,0.034586
13.920,0.042363
13.930,0.057711
13.940,0.115219
13.950,0.164132
13.960,0.219737
13.970,0.201544
13.980,0.183027
13.990,0.159838
14.000,0.167044
14.010,0.168347
14.020,0.138146
14.030,0.093654
14.040,0.054057
14.050,0.074881
14.060,0.106969
14.070,0.104878
14.080,0.110683
14.090,0.081830
14.100,0.102132
14.110,0.128522
14.120,0.138704
14.130,0.137551
14.140,0.075197
14.150,0.013144
14.160,-0.008895
14.170,-0.005854
14.180,-0.051835
14.190,-0.108671
14.200,-0.148404
14.210,-0.142109
14.220,-0.128847
14.230,-0.087606
14.240,-0.092180
14.250,-0.112128
14.260,-0.095386
14.270,-0.010357
14.280,0.037230
14.290,0.062052
14.300,0.029927
14.310,0.011155
14.320,0.037694
14.330,0.033030
14.340,0.038022
14.350,-0.003367
14.360,-0.009469
14.370,-0.003843
14.380,0.009272
14.390,0.093794
14.400,0.081668
14.410,0.102958
14.420,0.123832
14.430,0.193120
14.440,0.247780
14.450,0.248286
14.460,0.205929
14.470,0.203168
14.480,0.192239
14.490,0.189596
14.500,0.165011
14.510,0.086789
14.520,0.050791
14.530,0.015087
14.540,0.029967
14.550,0.036172
14.560,0.001853
14.570,-0.027740
14.580,-0.009417
14.590,0.030017
14.600,0.073146
14.610,0.056783
14.620,0.001272
14.630,-0.015550
14.640,-0.016186
14.650,-0.010468
14.660,-0.042133
14.670,-0.114506
14.680,-0.140876
14.690,-0.166595
14.700,-0.123348
14.710,-0.116850
14.720,-0.090441
14.730,-0.106709
14.740,-0.055761
14.750,0.020203
14.760,0.082081
14.770,0.087356
14.780,0.083881
14.790,0.082801
14.800,0.122969
14.810,0.150190
14.820,0.146435
14.830,0.108243
14.840,0.070448
14.850,0.067788
14.860,0.107756
14.870,0.114526
14.880,0.112199
14.890,0.077589
14.900,0.097645
14.910,0.153796
14.920,0.197206
