time_s,voltage_v
2.670,0.026408
2.680,-0.009066
2.690,0.007936
2.700,0.009890
2.710,-0.009870
2.720,0.035830
2.730,0.031906
2.740,0.003046
2.750,0.021576
2.760,0.015680
2.770,-0.029203
2.780,0.013756
2.790,0.009080
2.800,0.011248
2.810,-0.006153
2.820,0.005960
2.830,0.007326
2.840,0.027821
2.850,0.015016
2.860,0.009917
2.870,0.032935
2.880,0.001671
2.890,0.004159
2.900,-0.017251
2.910,0.033537
2.920,0.024465
2.930,0.023753
2.940,0.020033
2.950,0.011652
2.960,0.013232
2.970,0.006220
2.980,0.006946
2.990,0.010815
3.000,0.032677
3.010,0.018335
3.020,0.009123
3.030,0.001309
3.040,0.000475
3.050,0.034041
3.060,0.017600
3.070,0.011013
3.080,0.004807
3.090,-0.006636
3.100,0.008997
3.110,0.023105
3.120,0.004112
3.130,0.006591
3.140,0.006684
3.150,0.011644
3.160,-0.013895
3.170,0.006469
3.180,-0.002816
3.190,0.023269
3.200,-0.001559
3.210,0.018656
3.220,0.032867
3.230,0.005296
3.240,0.000976
3.250,0.012871
3.260,0.009970
3.270,-0.004904
3.280,0.016914
3.290,0.040233
3.300,0.006128
3.310,0.006957
3.320,-0.005674
3.330,0.014786
3.340,-0.008705
3.350,-0.006604
3.360,0.029195
3.370,-0.003582
3.380,0.026220
3.390,0.032865
3.400,0.013890
3.410,0.018301
3.420,0.039284
3.430,0.007049
3.440,0.001105
3.450,-0.010298
3.460,0.010626
3.470,0.032187
3.480,0.024394
3.490,-0.004131
3.500,-0.002831
3.510,0.002437
3.520,0.014384
3.530,0.006920
3.540,0.013217
3.550,0.014451
3.560,0.005518
3.570,0.009397
3.580,0.013099
3.590,0.008740
3.600,0.017553
3.610,0.038063
3.620,0.018880
3.630,0.010837
3.640,-0.015292
3.650,0.015819
3.660,-0.019200
3.670,-0.011136
3.680,0.022820
3.690,0.020594
3.700,0.007751
3.710,-0.015650
3.720,0.004430
3.730,-0.000181
3.740,0.019553
3.750,0.043866
3.760,0.013254
3.770,-0.001690
3.780,-0.007558
3.790,0.009159
3.800,0.007348
3.810,-0.007273
3.820,0.011745
3.830,-0.007264
3.840,0.026682
3.850,0.025940
3.860,0.026271
3.870,0.002889
3.880,0.017718
3.890,0.008019
3.900,0.004168
3.910,0.004913
3.920,-0.009496
3.930,-0.011658
3.940,0.021915
3.950,0.007131
3.960,0.013246
3.970,0.025026
3.980,-0.015997
3.990,-0.001762
4.000,0.012630
4.010,0.015881
4.020,0.004344
4.030,0.025438
4.040,0.013156
4.050,-0.008201
4.060,-0.003961
4.070,0.022082
4.080,0.016957
4.090,-0.018486
4.100,0.030216
4.110,0.018970
4.120,0.030150
4.130,0.004244
4.140,0.005564
4.150,-0.006897
4.160,0.048054
4.170,0.007368
4.180,0.033813
4.190,0.000291
4.200,0.012458
4.210,-0.015070
4.220,0.004257
4.230,0.024756
4.240,-0.008776
4.250,0.026083
4.260,0.015059
4.270,-0.005659
4.280,0.002476
4.290,0.003114
4.300,0.009257
4.310,0.001958
4.320,-0.002409
4.330,0.005431
4.340,-0.005403
4.350,-0.009343
4.360,0.009277
4.370,0.023243
4.380,-0.012941
4.390,0.010053
4.400,0.000251
4.410,-0.004657
4.420,0.022802
4.430,0.002227
4.440,0.032475
4.450,-0.001698
4.460,0.015798
4.470,0.006591
4.480,-0.001310
4.490,0.018815
4.500,0.007675
4.510,0.019048
4.520,0.009291
4.530,-0.006287
4.540,0.008469
4.550,0.010779
4.560,0.024377
4.570,-0.003594
4.580,0.009410
4.590,-0.015828
4.600,0.019772
4.610,-0.006222
4.620,-0.017095
4.630,0.009112
4.640,0.026585
4.650,-0.012867
4.660,-0.006321
4.670,-0.001149
4.680,-0.006942
4.690,0.015691
4.700,-0.002111
4.710,-0.000823
4.720,0.018750
4.730,-0.001333
4.740,0.016492
4.750,-0.004571
4.760,-0.008182
4.770,-0.017532
4.780,0.037918
4.790,0.005196
4.800,0.013659
4.810,0.009534
4.820,0.012399
4.830,0.010745
4.840,0.038623
4.850,-0.005584
4.860,-0.013362
4.870,-0.005179
4.880,-0.010021
4.890,0.021204
4.900,0.022306
4.910,-0.004420
4.920,-0.010857
4.930,0.004678
4.940,0.030867
4.950,-0.032294
4.960,0.017899
4.970,-0.006136
4.980,0.025606
4.990,-0.006169
5.000,0.005719
5.010,-0.012594
5.020,-0.004659
5.030,0.030788
5.040,0.022309
5.050,0.003975
5.060,-0.003053
5.070,-0.018407
5.080,0.004095
5.090,0.009536
5.100,0.008739
5.110,0.008593
5.120,-0.006827
5.130,0.009006
5.140,0.009420
5.150,0.029358
5.160,0.038001
5.170,0.007945
5.180,-0.001495
5.190,0.009025
5.200,0.000886
5.210,-0.001137
5.220,0.009120
5.230,-0.005650
5.240,0.019092
5.250,0.008441
5.260,0.013750
5.270,0.007256
5.280,-0.000909
5.290,-0.004219
5.300,0.006441
5.310,0.001769
5.320,0.013509
5.330,0.009934
5.340,-0.010435
5.350,0.011007
5.360,-0.010143
5.370,0.000753
5.380,0.005585
5.390,-0.021129
5.400,0.011373
5.410,0.012265
5.420,0.007630
5.430,0.003635
5.440,0.004396
5.450,-0.004648
5.460,0.005954
5.470,0.001711
5.480,0.011375
5.490,-0.008062
5.500,0.013534
5.510,0.012148
5.520,0.007877
5.530,0.003412
5.540,0.018285
5.550,-0.014969
5.560,0.016907
5.570,0.013646
5.580,0.014251
5.590,0.015750
5.600,0.000195
5.610,0.006108
5.620,0.019556
5.630,0.016460
5.640,0.013101
5.650,-0.012715
5.660,0.018068
5.670,0.027542
5.680,0.025145
5.690,0.013508
5.700,-0.013365
5.710,0.024138
5.720,0.007791
5.730,-0.027988
5.740,0.015658
5.750,-0.012383
5.760,-0.009447
5.770,0.000476
5.780,0.029089
5.790,0.004437
5.800,0.014065
5.810,0.036220
5.820,0.033910
5.830,0.008450
5.840,0.006377
5.850,-0.008913
5.860,-0.000417
5.870,0.016380
5.880,0.015936
5.890,0.011654
5.900,0.024922
5.910,-0.001586
5.920,0.009159
5.930,0.020969
5.940,0.018762
5.950,0.026064
5.960,0.015955
5.970,0.005359
5.980,0.015433
5.990,-0.005039
6.000,-0.014592
6.010,0.018710
6.020,0.009173
6.030,0.014626
6.040,-0.015465
6.050,0.004523
6.060,0.001002
6.070,-0.002963
6.080,-0.023825
6.090,0.004977
6.100,0.023460
6.110,0.015715
6.120,0.000986
6.130,0.009777
6.140,0.021352
6.150,-0.031406
6.160,0.008132
6.170,0.018148
6.180,0.020232
6.190,0.035511
6.200,0.027026
6.210,0.014688
6.220,0.014530
6.230,0.021804
6.240,0.001910
6.250,0.009397
6.260,0.023594
6.270,0.039362
6.280,0.007611
6.290,0.009274
6.300,0.012977
6.310,0.030148
6.320,0.009545
6.330,0.032040
6.340,-0.004500
6.350,0.007209
6.360,0.007028
6.370,0.021798
6.380,0.025679
6.390,-0.012642
6.400,-0.003727
6.410,0.015053
6.420,0.000120
6.430,-0.012836
6.440,0.025577
6.450,0.017410
6.460,0.017398
6.470,0.002868
6.480,0.025434
6.490,0.006401
6.500,0.026447
6.510,-0.003675
6.520,-0.002812
6.530,0.013070
6.540,-0.000535
6.550,0.020132
6.560,0.013901
6.570,-0.003845
6.580,0.011093
6.590,0.004731
6.600,0.023737
6.610,0.000512
6.620,0.003412
6.630,0.028169
6.640,0.043579
6.650,0.039985
6.660,0.010948
6.670,0.013283
6.680,0.033002
6.690,0.008133
6.700,-0.004645
6.710,0.011753
6.720,0.016773
6.730,-0.002437
6.740,-0.014693
6.750,-0.011551
6.760,0.019981
6.770,-0.001376
6.780,0.007880
6.790,0.013188
6.800,0.019287
6.810,0.004976
6.820,0.017481
6.830,-0.003351
6.840,0.004574
6.850,-0.005366
6.860,0.026977
6.870,0.009594
6.880,-0.001090
6.890,0.004714
6.900,0.006674
6.910,0.020508
6.920,-0.013935
6.930,-0.005558
6.940,0.004328
6.950,0.047985
6.960,0.024335
6.970,0.008328
6.980,0.020680
6.990,0.040862
7.000,0.006494
7.010,0.004504
7.020,0.028179
7.030,0.017413
7.040,0.020070
7.050,0.002377
7.060,0.038863
7.070,0.035644
7.080,0.018489
7.090,0.020264
7.100,-0.020409
7.110,0.019566
7.120,0.007088
7.130,0.016509
7.140,0.020237
7.150,0.004881
7.160,-0.015357
7.170,0.015518
7.180,-0.001121
7.190,0.005047
7.200,0.000932
7.210,0.004876
7.220,-0.024643
7.230,0.028254
7.240,0.013800
7.250,0.026671
7.260,0.039698
7.270,0.010339
7.280,-0.017037
7.290,-0.003408
7.300,-0.008104
7.310,0.002472
7.320,0.011195
7.330,-0.020033
7.340,0.015137
7.350,-0.012655
7.360,0.014460
7.370,0.008358
7.380,0.005296
7.390,0.008904
7.400,0.001903
7.410,0.000813
7.420,-0.015241
7.430,0.009556
7.440,0.037683
7.450,0.039707
7.460,0.029827
7.470,0.020587
7.480,-0.000147
7.490,0.031641
7.500,0.009158
7.510,0.008967
7.520,0.005632
7.530,0.011379
7.540,0.003472
7.550,0.008743
7.560,-0.006269
7.570,0.004395
7.580,0.044208
7.590,0.008956
7.600,0.006420
7.610,0.017986
7.620,0.020622
7.630,-0.006707
7.640,0.006893
7.650,0.023774
7.660,0.014048
7.670,0.011829
7.680,0.033310
7.690,-0.000167
7.700,0.011241
7.710,0.002199
7.720,0.032355
7.730,-0.019278
7.740,-0.000052
7.750,0.002063
7.760,0.019953
7.770,0.019094
7.780,0.030928
7.790,-0.013610
7.800,0.021257
7.810,0.005601
7.820,0.000016
7.830,0.018094
7.840,-0.003802
7.850,-0.021154
7.860,0.004447
7.870,-0.012467
7.880,0.000266
7.890,0.015573
7.900,0.014680
7.910,0.033803
7.920,0.007005
7.930,-0.013000
7.940,-0.001341
7.950,-0.003791
7.960,-0.008267
7.970,0.016531
7.980,0.000322
7.990,-0.019661
8.000,0.020454
8.010,0.012209
8.020,0.023129
8.030,0.023131
8.040,0.034517
8.050,0.028698
8.060,0.049216
8.070,0.038937
8.080,0.039581
8.090,0.040163
8.100,0.011614
8.110,0.029564
8.120,0.025852
8.130,0.029754
8.140,0.002433
8.150,0.042885
8.160,0.015025
8.170,-0.009935
8.180,-0.022753
8.190,-0.006632
8.200,-0.008793
8.210,-0.022806
8.220,-0.014596
8.230,-0.028736
8.240,-0.013036
8.250,-0.033308
8.260,-0.023004
8.270,-0.006547
8.280,0.019722
8.290,-0.030457
8.300,-0.017753
8.310,-0.017911
8.320,0.012668
8.330,-0.009557
8.340,0.007475
8.350,0.021438
8.360,0.014151
8.370,0.020967
8.380,0.033982
8.390,0.014458
8.400,0.027982
8.410,0.045846
8.420,0.055192
8.430,0.049576
8.440,0.023589
8.450,0.039548
8.460,0.053346
8.470,0.043272
8.480,0.026212
8.490,0.005678
8.500,0.019468
8.510,-0.007946
8.520,-0.026008
8.530,-0.029315
8.540,-0.003644
8.550,-0.029110
8.560,-0.020737
8.570,-0.049452
8.580,-0.030551
8.590,-0.054096
8.600,-0.045903
8.610,-0.002731
8.620,-0.023093
8.630,-0.034925
8.640,-0.019933
8.650,-0.003741
8.660,0.020497
8.670,0.006552
8.680,-0.000510
8.690,0.032884
8.700,0.048104
8.710,0.059225
8.720,0.085575
8.730,0.077014
8.740,0.088811
8.750,0.062158
8.760,0.091322
8.770,0.106899
8.780,0.081766
8.790,0.066390
8.800,0.055226
8.810,0.068268
8.820,0.014687
8.830,0.013084
8.840,0.007310
8.850,-0.002767
8.860,-0.034292
8.870,-0.035885
8.880,-0.055897
8.890,-0.059183
8.900,-0.069884
8.910,-0.089284
8.920,-0.073868
8.930,-0.058805
8.940,-0.081893
8.950,-0.063543
8.960,-0.039818
8.970,-0.053335
8.980,-0.020083
8.990,-0.022779
9.000,0.027019
9.010,0.061911
9.020,0.074495
9.030,0.056924
9.040,0.085873
9.050,0.089096
9.060,0.098786
9.070,0.127496
9.080,0.088261
9.090,0.124193
9.100,0.104415
9.110,0.119588
9.120,0.091280
9.130,0.065398
9.140,0.064082
9.150,0.053338
9.160,0.023748
9.170,0.010646
9.180,-0.024478
9.190,-0.068013
9.200,-0.040523
9.210,-0.059547
9.220,-0.081208
9.230,-0.092661
9.240,-0.084839
9.250,-0.110083
9.260,-0.112650
9.270,-0.099673
9.280,-0.069895
9.290,-0.095790
9.300,-0.041132
9.310,-0.049926
9.320,-0.036114
9.330,0.021376
9.340,0.023667
9.350,0.028022
9.360,0.063500
9.370,0.102369
9.380,0.123249
9.390,0.112724
9.400,0.135253
9.410,0.145756
9.420,0.126858
9.430,0.138828
9.440,0.125549
9.450,0.106278
9.460,0.091369
9.470,0.080848
9.480,0.058684
9.490,0.026197
9.500,0.003611
9.510,0.001772
9.520,-0.036003
9.530,-0.048693
9.540,-0.064346
9.550,-0.090835
9.560,-0.079139
9.570,-0.134837
9.580,-0.114940
9.590,-0.131593
9.600,-0.093854
9.610,-0.086314
9.620,-0.126840
9.630,-0.093821
9.640,-0.047764
9.650,-0.021751
9.660,0.003304
9.670,0.017856
9.680,0.052268
9.690,0.080666
9.700,0.093120
9.710,0.130252
9.720,0.097888
9.730,0.153981
9.740,0.136935
9.750,0.169765
9.760,0.149730
9.770,0.132494
9.780,0.139230
9.790,0.103291
9.800,0.082730
9.810,0.049215
9.820,0.046303
9.830,0.026736
9.840,0.006785
9.850,-0.037960
9.860,-0.045841
9.870,-0.084540
9.880,-0.106147
9.890,-0.112050
9.900,-0.116071
9.910,-0.143337
9.920,-0.142882
9.930,-0.137344
9.940,-0.124238
9.950,-0.124707
9.960,-0.077180
9.970,-0.076344
9.980,-0.038271
9.990,-0.030488
10.000,0.015382
10.010,0.043980
10.020,0.058897
10.030,0.120651
10.040,0.118166
10.050,0.157855
10.060,0.159867
10.070,0.144998
10.080,0.153493
10.090,0.164757
10.100,0.152865
10.110,0.141395
10.120,0.120455
10.130,0.077682
10.140,0.078177
10.150,0.022562
10.160,0.034138
10.170,-0.010174
10.180,-0.037435
10.190,-0.056014
10.200,-0.072332
10.210,-0.118441
10.220,-0.139850
10.230,-0.141817
10.240,-0.163786
10.250,-0.149888
10.260,-0.108583
10.270,-0.140323
10.280,-0.102010
10.290,-0.115417
10.300,-0.069801
10.310,-0.055667
10.320,-0.026339
10.330,0.009612
10.340,0.054088
10.350,0.056519
10.360,0.079594
10.370,0.084687
10.380,0.126277
10.390,0.128129
10.400,0.154170
10.410,0.146165
10.420,0.173178
10.430,0.112714
10.440,0.128753
10.450,0.132889
10.460,0.097113
10.470,0.070087
10.480,0.055222
10.490,0.014229
10.500,0.011784
10.510,0.021927
10.520,-0.021060
10.530,-0.076478
10.540,-0.091851
10.550,-0.100390
10.560,-0.090961
10.570,-0.125825
10.580,-0.126881
10.590,-0.101773
10.600,-0.096189
10.610,-0.104738
10.620,-0.102134
10.630,-0.091649
10.640,-0.059366
10.650,-0.060984
10.660,0.006127
10.670,0.008075
10.680,0.046823
10.690,0.088362
10.700,0.096604
10.710,0.077717
10.720,0.120770
10.730,0.134212
10.740,0.110857
10.750,0.108926
10.760,0.118738
10.770,0.089665
10.780,0.125492
10.790,0.053954
10.800,0.057421
10.810,0.051962
10.820,0.033246
10.830,0.019166
10.840,0.000861
10.850,-0.025503
10.860,-0.022871
10.870,-0.087579
10.880,-0.068474
10.890,-0.089178
10.900,-0.083162
10.910,-0.085052
10.920,-0.101726
10.930,-0.093894
10.940,-0.065365
10.950,-0.062045
10.960,-0.064973
10.970,-0.009613
10.980,0.010476
10.990,-0.029155
11.000,0.014527
11.010,0.064512
11.020,0.054581
11.030,0.060603
11.040,0.066669
11.050,0.071809
11.060,0.084200
11.070,0.083702
11.080,0.104725
11.090,0.086188
11.100,0.081285
11.110,0.062958
11.120,0.070984
11.130,0.047083
11.140,0.045021
11.150,0.049555
11.160,0.025082
11.170,0.012820
11.180,-0.003254
11.190,-0.020573
11.200,-0.034826
11.210,-0.047204
11.220,-0.038786
11.230,-0.071719
11.240,-0.038193
11.250,-0.058164
11.260,-0.067848
11.270,-0.059601
11.280,-0.055980
11.290,-0.035179
11.300,-0.038641
11.310,0.000053
11.320,-0.017334
11.330,-0.027977
11.340,0.006695
11.350,-0.001493
11.360,0.038062
11.370,0.063295
11.380,0.064317
11.390,0.039962
11.400,0.052107
11.410,0.091753
11.420,0.069401
11.430,0.062324
11.440,0.073967
11.450,0.089204
11.460,0.064818
11.470,0.039374
11.480,0.033789
11.490,0.028519
11.500,0.000810
11.510,-0.014870
11.520,-0.006607
11.530,-0.029142
11.540,-0.022291
11.550,-0.025063
11.560,0.004917
11.570,-0.045128
11.580,-0.034795
11.590,-0.034507
11.600,-0.023105
11.610,-0.010264
11.620,-0.028474
11.630,-0.027647
11.640,-0.033442
11.650,-0.015775
11.660,0.013307
11.670,0.013020
11.680,0.003865
11.690,0.019722
11.700,0.031257
11.710,0.042897
11.720,0.029952
11.730,0.037473
11.740,0.015150
11.750,0.025169
11.760,0.065577
11.770,0.006296
11.780,0.030910
11.790,0.035319
11.800,0.021833
11.810,0.010291
11.820,0.016204
11.830,0.011691
11.840,0.005309
11.850,-0.026539
11.860,-0.005025
11.870,-0.019468
11.880,-0.017958
11.890,-0.008628
11.900,-0.003853
11.910,-0.000563
11.920,-0.021146
11.930,0.001298
11.940,0.006933
11.950,0.008922
11.960,0.015805
11.970,-0.003730
11.980,-0.000388
11.990,0.018495
12.000,-0.010498
12.010,0.013141
12.020,0.002042
12.030,0.004468
12.040,-0.016123
12.050,-0.003358
12.060,0.009693
12.070,0.023327
12.080,0.024850
12.090,0.008795
12.100,0.007161
12.110,-0.002460
12.120,0.016035
12.130,0.006286
12.140,0.019088
12.150,0.036275
12.160,0.009514
12.170,-0.012460
12.180,-0.002913
12.190,-0.011872
12.200,-0.007957
12.210,0.029579
12.220,0.013400
12.230,-0.012803
12.240,0.019804
12.250,0.028906
12.260,0.004602
12.270,-0.000140
12.280,0.004939
12.290,0.014269
12.300,0.019600
12.310,0.027733
12.320,0.028187
12.330,0.027781
12.340,0.030429
12.350,0.019921
12.360,-0.012964
12.370,0.008036
12.380,0.014709
12.390,0.004253
12.400,0.023669
12.410,0.004597
12.420,-0.003886
12.430,0.031664
12.440,0.019990
12.450,0.013289
12.460,0.023901
12.470,0.025938
12.480,0.015116
12.490,-0.026865
12.500,-0.000134
12.510,0.003151
12.520,-0.004763
12.530,0.012980
12.540,0.027883
12.550,0.002726
12.560,-0.007022
12.570,0.040421
12.580,0.003228
12.590,-0.008494
12.600,0.013565
12.610,0.016385
12.620,-0.000576
12.630,0.021857
12.640,0.002690
12.650,-0.003844
12.660,0.012679
12.670,0.021562
12.680,0.000492
12.690,0.014959
12.700,0.008598
12.710,0.052367
12.720,-0.000628
12.730,0.030763
12.740,0.009215
12.750,0.008099
12.760,0.020825
12.770,0.023410
12.780,0.029005
12.790,0.014930
12.800,0.000994
12.810,0.001935
12.820,0.017645
12.830,0.018713
12.840,0.030971
12.850,0.016276
12.860,0.025903
12.870,0.032752
12.880,0.012472
12.890,-0.012283
12.900,-0.007689
12.910,-0.011567
12.920,0.033874
12.930,-0.002711
12.940,0.028478
12.950,0.018786
12.960,0.035729
12.970,0.025046
12.980,0.008464
12.990,0.007000
13.000,0.011278
13.010,0.012629
13.020,0.002039
13.030,0.009511
13.040,0.034140
13.050,-0.015532
13.060,0.013877
13.070,-0.003604
13.080,0.012806
13.090,0.022598
13.100,0.009136
13.110,0.021595
13.120,-0.013848
13.130,0.026605
13.140,0.000953
13.150,0.019336
13.160,0.012737
13.170,-0.028783
13.180,-0.001341
13.190,0.013308
13.200,0.033310
13.210,0.014309
13.220,0.013865
13.230,-0.011190
13.240,0.031467
13.250,0.037106
13.260,0.010429
13.270,0.006704
13.280,-0.014286
13.290,0.023250
13.300,0.050534
13.310,0.020757
13.320,0.028956
13.330,0.018131
13.340,-0.004775
13.350,0.030050
13.360,-0.008519
13.370,0.006840
13.380,0.014183
13.390,0.023244
13.400,0.016240
13.410,0.015803
13.420,-0.001422
13.430,-0.009341
13.440,0.010922
13.450,-0.000653
13.460,-0.009617
13.470,-0.008989
13.480,0.002648
13.490,-0.017789
13.500,-0.010212
13.510,-0.014527
13.520,0.012734
13.530,0.016120
13.540,0.040107
13.550,-0.012463
13.560,-0.000194
13.570,0.023689
13.580,0.006748
13.590,0.005095
13.600,0.035638
13.610,0.004924
13.620,-0.007343
13.630,-0.009754
13.640,0.015035
13.650,0.014579
13.660,-0.010576
13.670,-0.004781
13.680,0.018021
13.690,0.018659
13.700,0.000352
13.710,0.019333
13.720,0.018578
13.730,-0.016746
13.740,0.005319
13.750,0.016227
13.760,0.001404
13.770,-0.022084
13.780,0.005755
13.790,0.021281
13.800,0.033706
13.810,-0.022862
13.820,0.049200
13.830,-0.006907
13.840,0.024355
13.850,0.028513
13.860,0.024745
13.870,0.012244
13.880,-0.007421
13.890,0.019398
13.900,-0.000728
13.910,-0.027840
13.920,0.052433
13.930,0.020622
13.940,0.037271
13.950,-0.003674
13.960,0.032013
13.970,0.033848
13.980,0.033318
13.990,0.009682
14.000,-0.008037
14.010,0.007340
14.020,-0.023042
14.030,-0.015530
14.040,0.011379
14.050,-0.004871
14.060,0.007533
14.070,0.008365
14.080,0.038961
14.090,0.029464
14.100,0.009327
14.110,0.028133
14.120,-0.001696
14.130,0.004947
14.140,0.023653
14.150,-0.008625
14.160,0.005815
14.170,-0.009813
14.180,0.011762
14.190,0.034488
14.200,-0.001281
14.210,0.013388
14.220,-0.003460
14.230,-0.007243
14.240,-0.008538
14.250,0.031821
14.260,0.045437
14.270,0.017246
14.280,-0.000744
14.290,0.020573
14.300,0.004985
14.310,0.022021
14.320,0.014365
14.330,0.014196
14.340,0.019109
14.350,0.001308
14.360,0.003934
14.370,-0.015819
14.380,0.003372
14.390,-0.011335
14.400,0.007830
14.410,-0.004364
14.420,0.011519
14.430,0.016799
14.440,-0.011302
14.450,-0.002199
14.460,-0.004150
14.470,0.021197
14.480,0.035595
14.490,0.022773
14.500,0.004759
14.510,0.031975
14.520,-0.012712
14.530,0.032490
14.540,0.000157
14.550,-0.031704
14.560,0.049762
14.570,0.033670
14.580,-0.005478
14.590,0.012535
14.600,0.006783
14.610,0.011533
14.620,-0.012249
14.630,-0.000222
14.640,0.017019
14.650,0.013340
14.660,0.027989
14.670,0.011196
14.680,0.045238
14.690,-0.000736
14.700,0.013890
14.710,-0.018745
14.720,-0.008797
14.730,0.029928
14.740,-0.004142
14.750,0.017960
14.760,0.009073
14.770,-0.005668
14.780,0.004776
14.790,0.002286
14.800,0.002690
14.810,0.021304
14.820,0.019785
14.830,0.001339
14.840,-0.003607
14.850,0.014235
14.860,0.008500
14.870,0.025424
14.880,0.049829
14.890,0.022644
14.900,0.009479
14.910,0.007419
14.920,-0.002850
14.930,-0.003600
14.940,-0.005051
14.950,0.004070
14.960,0.003593
14.970,0.021156
14.980,0.004015
14.990,0.007038
